,actividad,num_resenas,valoracion,categoria
358,449. Aesthetic Center Silvia Pascual,,,Spas
359,450. Hola Rioja,,,Historical & Heritage Tours
360,451. Aesthetic Center Silvia Pascual,8,5.0,Spas
361,452. Hola Rioja,2,3.5,Historical & Heritage Tours
362,453. Visitas Guiadas a Logroño,14,5.0,Cultural Tours
363,454. Sandra Torroba,3,5.0,Spas
364,455. Gominolo,1,5.0,Speciality & Gift Shops
365,456. Lucía Y Carlota,1,5.0,Speciality & Gift Shops
366,457. Prosystem Seguridad,3,4.5,Speciality & Gift Shops
367,458. Rioja&North,3,3.5,Wine Tours & Tastings
368,459. Almazara Riojana,3,2.5,Sightseeing Tours
369,460. Delgado Mobiliario De Baño,2,5.0,Speciality & Gift Shops
370,461. Dir Rioja,1,5.0,Speciality & Gift Shops
371,462. La Rioja en Globo,1,5.0,Air Tours
372,463. Complementos Barrios,,,Speciality & Gift Shops
373,464. Estanco Tabacos Expendeduría No. 8,,,Speciality & Gift Shops
374,465. JamonSobron Embutidos,,,Food Tours
375,466. Solivagant,,,Historical & Heritage Tours
376,467. Famaliving Logrono,,,Speciality & Gift Shops
377,468. La Carretilla,,,Speciality & Gift Shops
378,469. La Mieleria,,,Beer Tastings & Tours
379,470. Cultural Circuits InterRías Trips,,,Multi-day Tours
380,471. Enoturismo Ecuestre,,,Wine Tours & Tastings
381,472. Benini Moda Y Complementos,,,Speciality & Gift Shops
382,473. Pipes,,,Speciality & Gift Shops
383,474. Riojapress,,,Speciality & Gift Shops
384,475. Alvuelo,,,Parasailing & Paragliding
385,476. Logroaventura,,,Canyoning & Rappelling Tours
386,477. Del Valle,,,Speciality & Gift Shops
387,478. Bambú La Rioja,,,Bars & Clubs
388,479. Visitas Narradas a Calados y Lagares en Logroño,,,Historical & Heritage Tours
389,480. Go Travel Tour,,,Hop-On Hop-Off Tours
