actividad,num_resenas,valoracion,categoria
Anastasiya Gastrobar,2,5.0,Bars & Clubs
Discoteca Concept,3,3.5,Dance Clubs & Discos
Iglesia de la Asuncion,1,3.0,Churches & Cathedrals
Vinoteca Rodriguez Alonso,9,3.0,Bars & Clubs
Plaza Del Juego De La Oca,1,3.0,Monuments & Statues
La Fama,9,3.0,Bars & Clubs
Cafe Boulevard,16,4.0,Bars & Clubs
Masajes Raquel Blanco,9,4.0,Spas
Zhivago Cafe,1,5.0,Bars & Clubs
Badaran Que Hablar,2,5.0,Wineries & Vineyards
Centro Ecuestre Villarrica,3,4.5,Horseback Riding Tours
Tierra de Sabores (Wine Shop),9,3.0,Speciality & Gift Shops
EL RINCON DE LA CANELA,302,5.0,Bars & Clubs
Rioja Tasting Travel,310,5.0,Sightseeing Tours
Riojatrek,2,4.5,Sightseeing Tours
Atipyca,44,5.0,Speciality & Gift Shops
Calado de Catas El Legado,8,4.0,Wine Tours & Tastings
Chamberi Villamediana,2,5.0,Bars & Clubs
Taxi Jose Haro,4,5.0,Taxis & Shuttles
Vinos Castro,5,4.0,Wineries & Vineyards
Vinun Ad Amicus,3,4.5,Wine Bars
Cafeteria Medievo,1,5.0,Bars & Clubs
BAR DEL Castillo,67,5.0,Bars & Clubs
Licoreria Virgen Del Cisne,1,5.0,Wineries & Vineyards
La Rioja Bike Tours,,,Gear Rentals
Bridge of Mantible,,,Bridges
Bodegas Petralanda,,,Wineries & Vineyards
Riojaforum,,,Convention Centers
Bar Diagonal,7,4.0,Bars & Clubs
Bodegas La Eralta,1,5.0,Wineries & Vineyards
La Boheme,1,5.0,Bars & Clubs
Bodegas Castillo Alonso,2,2.5,Wineries & Vineyards
Bodegas Aradón,196,5.0,Wineries & Vineyards
Los Secretos de Claudia,1,4.0,Speciality & Gift Shops
Enocuatro S.l,4,5.0,Wineries & Vineyards
Embutidos y Jamones Gloria,19,3.0,Speciality & Gift Shops
Bar Acuario,3,4.5,Bars & Clubs
Cerveceria Titanic,37,4.5,Breweries
Love Rioja,15,4.5,Sightseeing Tours
San Queremos,41,5.0,Escape Games
Amaliss,3,5.0,Bars & Clubs
Bodega Eduardo Garrido,6,3.5,Wineries & Vineyards
Cafe Parlamento,3,3.5,Bars & Clubs
Carlos Serres,1,4.0,Wineries & Vineyards
Al Punto,2,5.0,Bars & Clubs
Fungiturismo,,,Sightseeing Tours
Bodega Cooperativa San Isidro Labrador,,,Wineries & Vineyards
Bodegas Y Vinedos Quiroga De Pablo,,,Wineries & Vineyards
Queso Los Cameros,,,Factory Tours
Danitguia,,,Climbing Tours
Ares 9,,,Department Stores
Brezo,,,Bars & Clubs
Genesis,,,Bars & Clubs
Galeria Pub,,,Bars & Clubs
Bodegas Sonsierra Wine Bar,,,Wine Bars
Alberto Gutiérrez Andrés,,,Wineries & Vineyards
Vinoteca Larría,,,Wineries & Vineyards
Cafe Carlos,,,Bars & Clubs
Bodegas Latente,14,3.5,Wineries & Vineyards
Troika Bar,22,5.0,Bars & Clubs
Proyecto 5 Escape Room & Shop,1,3.0,Escape Games
Casa de los Gadea,14,5.0,Architectural Buildings
Senorio de Valbornedo,4,2.5,Wineries & Vineyards
Rioja Rentabike,2,4.0,Gear Rentals
Ayuntamiento De San Asensio,2,3.5,Architectural Buildings
Iglesia Nuestra Senora de la Natividad,7,4.5,Churches & Cathedrals
Iglesia De San Pedro,6,4.5,Churches & Cathedrals
Haro Taxi,1,5.0,Taxis & Shuttles
Hotel California,7,3.5,Bars & Clubs
Metaversia Calahorra,11,4.0,Game & Entertainment Centers
Ermita de San Roque,15,4.0,Churches & Cathedrals
Centro zen Dharma,195,5.0,Lessons & Workshops
Pirolo,1,3.0,Bars & Clubs
Globos Arcoiris,6,5.0,Balloon Rides
Ayuntamiento De Elvillar,6,5.0,Government Buildings
Date un Capricho,3,4.5,Speciality & Gift Shops
Asalto Al Cole I Escape Room,1,4.0,Escape Games
Pub Cumbia Son Karaoke,4,4.5,Karaoke Bars
Iglesia de San Julian,43,2.5,Churches & Cathedrals
Art-4,2,4.5,Speciality & Gift Shops
Saline Spa,12,4.0,Spas
Yaldekarts,2,5.0,Game & Entertainment Centers
Bar 5 Pesos,11,4.0,Bars & Clubs
Sala Negra Café-Teatro,302,5.0,Comedy Clubs
Morry,89,5.0,Bars & Clubs
Rioja Tasting Travel,21,3.5,Sightseeing Tours
Silvestres,,,Eco Tours
Cafe Luz,,,Bars & Clubs
Castillo De Enciso,1,4.0,Castles
Bodegas Obalo,1,5.0,Wineries & Vineyards
Iglesia de San Juan de Letran,1,4.0,Ancient Ruins
Museo Virgen de la Vega,2,3.5,Children's Museums
Maze Room,41,4.5,Escape Games
Castillo De Nalda,1,4.0,Castles
Casco antiguo de Calahorra,15,2.0,Points of Interest & Landmarks
Torreon de Sor María de Leiva,1,4.0,Observation Decks & Towers
Ayuntamiento de Viniegra de Abajo,3,3.5,Government Buildings
Bar Fraggle Rock,6,5.0,Bars & Clubs
Ayuntamiento de Viniegra de Arriba,3,3.5,Government Buildings
Iglesia Parroquial de Santa María,2,4.0,Churches & Cathedrals
Hospital de San Juan de Acre,5,2.5,Ancient Ruins
Teorema,106,4.5,Bars & Clubs
Castillo de Herce,2,4.5,Ancient Ruins
Del Mar Skatehouse,2,4.5,Game & Entertainment Centers
La Cueva _San Juan13,32,4.0,Bars & Clubs
Castillo De Autol,1,4.0,Castles
Iglesia De Santa Eulalia,1,5.0,Churches & Cathedrals
Bodega Beleluin,2,4.0,Wineries & Vineyards
Iglesia de Santa Maria la Mayor de Treviana,14,3.5,Churches & Cathedrals
Troika Bar,7,4.0,Bars & Clubs
Saoco Salsoteca,1,3.0,Bars & Clubs
La Casa Del Indiano,22,5.0,Architectural Buildings
Proyecto 5 Escape Room & Shop,7,5.0,Escape Games
Bodegas Latente,1,5.0,Wineries & Vineyards
Mitsou Art Shop & Studio,1,5.0,Speciality & Gift Shops
Ermita de La Ascensión,1,4.0,Churches & Cathedrals
Ateneo Riojano,,,Cultural Events
Iglesia De San Adrian,,,Churches & Cathedrals
Vinoteca Larría,2,5.0,Wineries & Vineyards
Alberto Gutiérrez Andrés,46,5.0,Wineries & Vineyards
Cafe Carlos,5,3.5,Bars & Clubs
Enoturismo en Bodegas Corral,1,4.0,Wine Tours & Tastings
Complejo Deportivo El Mazo,13,2.5,Arenas & Stadiums
CAFETERIA ATALAYA,1,5.0,Bars & Clubs
Sala Gonzalo de Berceo,26,4.0,Movie Theaters
Cafe Stress Bar,7,3.5,Bars & Clubs
Enigma,1,5.0,Bars & Clubs
Bodega Antigua De Azenari,1,1.0,Wineries & Vineyards
Campo Activo,2,5.0,Hiking & Camping Tours
El Mexicano,2,2.0,Bars & Clubs
Museo Del Vino Portal De La Rioja,1,3.0,Speciality Museums
Vinos Los Santos S L,24,5.0,Wineries & Vineyards
Cines Arcca,8,3.0,Movie Theaters
Algazara Estudio,2,4.0,Lessons & Workshops
Cafe Lucronium,7,5.0,Bars & Clubs
Primark Logrona Berceo,16,5.0,Speciality & Gift Shops
Centro Gallego,1,5.0,Bars & Clubs
Sala Macao,2,5.0,Bars & Clubs
Equis Moda,,,Speciality & Gift Shops
Ojasport,,,Balloon Rides
Cafe Del Mercado,,,Bars & Clubs
Casino Calceatense,,,Casinos
Los Cuentos de La Luna,,,Bars & Clubs
"Parque de Aventura ""Sierra de Cameros"" de Lumbreras",,,Climbing Tours
Parque Infantil,,,Parks
Sensum Rioja Tours,,,Multi-day Tours
El Dorado Centro Equestre,,,Horseback Riding Tours
Tren Turistico Del Vino,,,Bus Tours
Pause & Play,2,2.0,
Parque de Iturrimurri,4,3.5,
Ninfeo del Vino,37,5.0,
Iglesia Parroquial De Santa Maria De La Asuncion,13,3.5,
"Centro del Romanico ""Rioja Romanica""",4,4.0,
Puente Medieval,11,4.0,
Bodega Finca de Los Arandinos,7,3.5,
Isla Park,2,3.5,
Concordia Park,3,3.5,
Plaza De Toros De Arnedo,1,4.0,
Gravedad Zero,6,4.5,
Parroquia de Santa Maria de Valvanera,18,3.0,
Dulin Sombrerero,5,4.5,
Sendero de Valvanera,2,4.0,
Bodegas Obalo,1,5.0,
Iglesia Parroquial de la Santa Cruz,5,4.5,
Ermita De San Andrés Y San Blas,1,4.0,
Muralla,7,3.5,
Parque de las Victimas del Terrorismo,3,3.0,
Cascada Puente Ra,2,3.5,
Picuezo E Picueza,1,5.0,
Castillo de Quel,2,4.0,
Puente Romano (medieval),1,5.0,
Ermita de Santa Maria de la Antigua o de la Santa Cruz,4,4.5,
Ermita de San Juan de Arriba,6,4.0,
Bodegas Ajuarte,1,5.0,
Iglesia de Santiago,1,4.0,
Centro de la Emigracion Riojana,2,4.5,
Castillo de Herce,2,4.5,
Antiguas minas de plomo de Jubera,2,4.0,
Santuario de la Virgen de Tomalos,3,4.5,Points of Interest & Landmarks
Fuertes Gourmet,77,5.0,Speciality & Gift Shops
Aceites Hejul,3,5.0,Distilleries
Ayuntamiento De San Vicente De La Sonsierra,11,4.0,Government Buildings
Mirador Del Río Leza,2,5.0,Lookouts
Piscinas Municipales,1,3.0,Sports Complexes
Palacio De La Baronesa,1,4.0,Architectural Buildings
