Mes;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde
2020M05;8,89;17,20;6,57;1,66;7,06;0,18;11,53;6,13;13,43;22,77;11,42;26,78;5,45;15,82;4,03;3,41;2,69;3,48;62,63;63,14;62,50;60,75;18,57;45,75
2020M03;18,45;24,75;15,10;10,61;13,38;11,36;7,92;4,54;9,07;16,43;12,51;17,75;7,99;11,68;7,48;18,83;18,86;18,55;63,85;64,45;63,69;69,98;19,36;54,35
2020M02;38,27;45,33;33,40;55,51;70,83;44,62;15,16;6,78;18,11;24,67;15,59;27,70;12,07;12,77;11,98;31,50;35,70;30,86;75,01;76,84;74,49;73,25;23,28;54,76
2020M01;26,35;38,01;26,64;34,60;50,39;21,29;12,03;7,40;13,83;29,00;15,26;34,28;9,70;9,89;9,62;21,32;17,48;21,44;71,26;68,26;72,21;77,42;16,21;64,55
2019M12;33,49;40,31;31,76;49,41;55,54;34,81;17,35;8,30;20,62;41,53;21,11;48,88;27,73;28,95;27,59;42,72;34,58;44,22;64,52;67,60;63,61;66,98;22,15;49,38
2019M11;40,68;47,82;37,39;58,95;63,68;50,15;15,85;11,18;17,48;33,50;23,40;37,01;21,75;23,12;21,55;56,16;62,91;55,17;60,90;65,17;59,62;60,78;20,95;44,14
2019M10;49,54;61,96;47,34;68,75;77,94;52,53;40,26;15,82;49,08;43,67;19,73;52,25;22,18;22,94;22,12;59,60;51,96;60,92;62,99;65,39;62,27;61,88;19,44;46,43
2019M09;55,29;66,23;51,93;70,45;76,52;65,03;19,91;9,07;23,52;39,55;14,63;47,82;21,14;22,32;21,00;55,94;60,02;55,45;66,55;78,24;63,45;61,64;19,51;46,07
2019M08;59,89;71,20;36,46;63,99;76,23;50,89;16,21;12,55;17,21;33,18;23,41;35,82;37,35;22,36;39,98;45,88;32,10;48,35;61,55;77,13;57,45;59,06;19,13;43,79
2019M07;43,87;49,44;40,79;59,23;69,20;45,71;12,83;8,53;14,00;25,24;18,36;27,10;23,34;34,15;21,63;48,94;62,97;46,81;63,31;75,01;59,51;65,31;26,53;38,77
